emotion,dopamine,serotonin,oxytocin,cortisol,norepinephrine,syn1,syn2,description
awe,26.61,15.61,10.34,2.24,45.2,fear,reverence,"Awe is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
schadenfreude,15.04,19.64,5.07,57.16,3.09,gloating,malicious joy,"Schadenfreude is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
liminality,3.96,2.36,55.77,24.37,13.54,in-betweenness,threshold state,"Liminality is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
serenity,20.23,23.33,1.56,40.1,14.78,repose,quiet,"Serenity is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
melancholy,1.36,33.92,2.06,36.72,25.94,black bile,melancholic,"Melancholy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
euphoria,42.21,24.2,7.31,4.02,22.25,euphory,ecstasy,"Euphoria is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
nostalgia,12.17,4.66,33.78,36.58,12.81,homesickness,reminiscence,"Nostalgia is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
frustration,21.96,2.63,30.06,22.59,22.75,defeat,thwarting,"Frustration is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
anticipation,19.87,35.62,0.5,41.93,2.08,expectancy,prediction,"Anticipation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
perplexity,13.26,0.15,12.46,56.31,17.82,confusion,bewilderment,"Perplexity is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
jealousy,14.28,13.2,12.34,20.88,39.31,green-eyed monster,envy,"Jealousy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
compassion,43.31,9.2,7.6,37.81,2.09,compassionateness,pity,"Compassion is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
apprehension,12.1,33.55,6.71,22.78,24.85,apprehensiveness,dread,"Apprehension is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
apathy,11.57,14.88,30.7,14.25,28.6,indifference,numbness,"Apathy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
solace,11.67,1.75,7.06,14.31,65.2,consolation,solacement,"Solace is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
yearning,14.49,16.27,10.02,12.46,46.76,longing,hungriness,"Yearning is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
ardor,2.45,23.5,47.77,10.09,16.18,ardour,elan,"Ardor is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
ennui,12.06,2.22,6.7,52.81,26.22,boredom,tedium,"Ennui is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
jubilation,25.79,17.32,15.61,4.81,36.46,exultation,jubilance,"Jubilation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
remorse,34.58,5.65,55.78,2.77,1.22,compunction,self-reproach,"Remorse is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
suspicion,0.1,16.66,7.11,43.6,32.54,intuition,hunch,"Suspicion is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
gratitude,41.48,26.37,24.03,0.09,8.03,thankfulness,appreciation,"Gratitude is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
trepidation,3.79,20.26,48.06,27.35,0.54,dread,unease,"Trepidation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
astonishment,2.47,28.56,10.88,43.61,14.48,amazement,surprise,"Astonishment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
pride,33.77,1.6,2.85,6.81,54.97,pridefulness,superbia,"Pride is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
shame,13.56,1.21,8.52,23.2,53.51,disgrace,ignominy,"Shame is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
admiration,3.56,10.81,42.83,15.46,27.34,esteem,wonder,"Admiration is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
wonder,39.76,3.2,31.46,8.97,16.61,wonderment,admiration,"Wonder is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
guilt,13.68,0.41,54.74,7.78,23.39,guiltiness,guilty conscience,"Guilt is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
confusion,12.18,6.72,32.01,24.1,25.0,mental confusion,confusedness,"Confusion is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
respect,18.49,7.29,38.54,34.89,0.79,regard,esteem,"Respect is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
relief,22.27,15.98,19.43,2.16,40.16,alleviation,assuagement,"Relief is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
love,11.54,32.59,23.91,21.43,10.53,passion,beloved,"Love is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
hatred,2.43,23.94,26.32,39.68,7.63,hate,loathing,"Hatred is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
contempt,2.64,43.64,23.05,11.73,18.94,disdain,scorn,"Contempt is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
trust,36.31,9.13,15.66,15.63,23.28,reliance,trustingness,"Trust is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
anger,41.02,8.28,34.25,0.54,15.91,choler,ire,"Anger is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
fear,4.88,17.59,2.19,64.12,11.23,fearfulness,fright,"Fear is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
sadness,1.41,10.64,27.59,49.74,10.61,unhappiness,sorrow,"Sadness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
happiness,14.93,38.39,0.79,21.78,24.11,felicity,joyfulness,"Happiness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
disgust,18.55,38.17,8.0,29.06,6.23,gross out,revolt,"Disgust is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
surprise,32.58,4.99,26.69,25.88,9.86,surprisal,storm,"Surprise is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
hope,27.13,3.38,10.66,35.85,22.97,promise,bob hope,"Hope is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
despair,3.08,21.9,40.44,1.77,32.81,desperation,hopelessness,"Despair is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
ecstasy,54.66,1.99,3.94,19.32,20.09,rapture,transport,"Ecstasy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
anxiety,8.97,33.61,16.85,11.19,29.39,anxiousness,nervousness,"Anxiety is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
boredom,20.23,44.65,20.55,13.98,0.59,ennui,tedium,"Boredom is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
curiosity,43.42,1.03,10.16,14.51,30.88,wonder,curio,"Curiosity is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
envy,42.51,22.83,1.56,15.0,18.1,enviousness,invidia,"Envy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
acceptance,4.29,46.7,37.49,8.44,3.09,credence,adoption,"Acceptance is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
defeat,47.66,21.91,0.92,10.85,18.65,licking,frustration,"Defeat is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
determination,18.4,40.04,9.92,22.75,8.89,finding,purpose,"Determination is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
embarrassment,36.49,4.26,6.43,24.43,28.39,overplus,plethora,"Embarrassment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
humility,1.8,23.82,52.98,16.12,5.28,humbleness,modesty,"Humility is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
indignation,23.77,20.8,17.76,11.96,25.71,outrage,resentment,"Indignation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
inspiration,18.66,7.43,41.4,26.04,6.48,brainchild,divine guidance,"Inspiration is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
joy,3.86,33.01,25.45,16.47,21.21,joyousness,joyfulness,"Joy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
loneliness,3.63,23.68,24.45,12.34,35.91,solitariness,forlornness,"Loneliness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
obsession,29.31,17.67,5.36,25.82,21.84,compulsion,fixation,"Obsession is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
optimism,28.97,9.32,7.81,37.89,16.0,hopefulness,positivity,"Optimism is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
pessimism,9.0,40.17,1.02,13.26,36.55,negativity,fatalism,"Pessimism is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
regret,10.87,11.62,26.22,31.46,19.82,sorrow,rue,"Regret is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
resilience,13.46,37.59,2.89,38.33,7.73,resiliency,toughness,"Resilience is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
satisfaction,51.4,10.41,14.85,11.53,11.81,gratification,atonement,"Satisfaction is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
synergy,20.66,19.11,32.74,5.8,21.68,synergism,cooperation,"Synergy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
tranquility,48.03,7.22,7.87,10.79,26.09,repose,quiet,"Tranquility is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
vulnerability,9.58,71.02,8.16,5.04,6.19,exposure,susceptibility,"Vulnerability is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
warmth,1.19,78.01,2.23,5.14,13.43,heat,warmheartedness,"Warmth is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
zeal,20.85,15.73,1.07,20.96,41.39,ardor,ardour,"Zeal is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
agitation,42.9,12.23,22.26,15.42,7.19,ferment,fermentation,"Agitation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
bewilderment,24.21,2.1,31.16,19.95,22.58,obfuscation,puzzlement,"Bewilderment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
calmness,30.85,17.81,1.84,20.22,29.28,composure,calm,"Calmness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
discouragement,5.83,34.93,4.45,27.79,27.0,disheartenment,dismay,"Discouragement is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
empathy,31.56,5.84,7.81,2.63,52.15,understanding,compassion,"Empathy is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
fascination,18.15,0.26,4.61,47.44,29.53,captivation,enchantment,"Fascination is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
glee,5.47,38.82,28.59,12.02,15.1,hilarity,mirth,"Glee is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
heartbreak,33.15,35.42,4.82,21.74,4.86,grief,heartache,"Heartbreak is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
kinship,0.91,6.53,13.48,78.29,0.78,affinity,family relationship,"Kinship is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
longing,2.9,31.68,13.21,40.34,11.87,yearning,hungriness,"Longing is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
mischief,24.08,15.09,12.01,5.38,43.44,mischief-making,mischievousness,"Mischief is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
openness,55.66,5.83,21.39,12.15,4.98,nakedness,receptiveness,"Openness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
panic,33.46,18.72,7.09,14.79,25.94,terror,affright,"Panic is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
quiescence,18.91,43.29,32.51,3.0,2.28,dormancy,quiescency,"Quiescence is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
resentment,26.72,29.31,30.5,2.89,10.58,bitterness,gall,"Resentment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
triumph,14.02,8.75,21.55,10.75,44.94,victory,prevail,"Triumph is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
unease,22.67,21.85,40.68,12.72,2.08,malaise,uneasiness,"Unease is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
wistfulness,1.04,3.6,7.07,78.79,9.5,longing,pensiveness,"Wistfulness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
exuberance,7.4,5.58,6.95,21.13,58.93,enthusiasm,ebullience,"Exuberance is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
gloom,34.63,6.31,2.24,4.81,52.01,somberness,sombreness,"Gloom is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
detachment,3.43,6.67,41.56,14.99,33.35,withdrawal,disengagement,"Detachment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
forbearance,3.39,37.24,30.72,4.17,24.48,patience,longanimity,"Forbearance is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
bliss,2.65,18.35,48.52,9.48,21.0,blissfulness,cloud nine,"Bliss is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
drive,14.91,4.03,11.31,64.46,5.3,thrust,driving force,"Drive is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
elation,4.29,63.84,15.35,7.67,8.84,high spirits,lightness,"Elation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
fatigue,14.12,27.23,25.28,29.68,3.68,weariness,tiredness,"Fatigue is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
generosity,48.35,5.88,5.91,32.54,7.32,generousness,unselfishness,"Generosity is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
hurt,27.39,38.69,2.18,29.91,1.84,injury,harm,"Hurt is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
illumination,0.37,6.76,38.21,43.99,10.66,light,clarification,"Illumination is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
joviality,12.63,5.93,5.54,44.97,30.92,jollity,jolliness,"Joviality is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
kindness,0.37,25.09,34.41,30.49,9.64,forgivingness,benignity,"Kindness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
